,event_type,latitude,longitude,endlatitude,endlongitude,address,event_cause,requires_road_closure,start_datetime,end_datetime,veh_type,corridor,priority,created_date,police_station,closed_datetime,gba_identifier,zone,junction
12,unplanned,12.9995223,77.6827499,0.0,0.0,"1st Main Road, BSNL CACT Building, Dooravani Nagar, Bengaluru, Karnataka. Pin-560016 (India)",water_logging,False,2024-03-07 18:00:05.02+00,,,ORR East 2,1.0,2024-03-07 18:00:57.261528+00,Mahadevapura,,,,
13,unplanned,13.0418933,77.594705,0.0,0.0,"MBT Road, Amanikere, Hebbal, Bengaluru, Karnataka. Pin-560024 (India)",others,False,2023-12-26 19:15:28.124+00,,,ORR North 1,1.0,2023-12-26 19:16:09.549364+00,Hebbala,2024-03-07 19:10:20.402869+00,Bengaluru North Corporation,North Zone 1,HebbalFlyoverJunc
14,unplanned,12.975285,77.6256902,0.0,0.0,"Old Madras Road, Ramayya Circle, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",pot_holes,False,2024-03-07 19:26:15.604+00,,,Old Madras Road,1.0,2024-03-07 19:28:21.681907+00,Halasur,,,,
15,unplanned,13.0633917,77.5933483,0.0,0.0,"Bellary Road, Capitaland IT Park, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",others,False,2024-03-07 19:10:21.93+00,,,Bellary Road 2,1.0,2024-03-07 19:11:02.983156+00,Kodigehalli,,,,
16,unplanned,13.063425,77.5933,0.0,0.0,"Bellary Road, Renaissance Prospero Apartment, Kashi Nagar, Byatarayanapura, Bengaluru, Karnataka. Pin-560092 (India)",others,False,2024-03-07 19:11:15.565+00,,,Bellary Road 2,1.0,2024-03-07 19:11:57.171334+00,Kodigehalli,,,,
17,unplanned,13.0254527,77.6417388,0.0,0.0,"MBT Road, Chelekere, Bengaluru, Karnataka. Pin-560043 (India)",others,False,2024-03-07 19:18:29.89+00,,,ORR North 1,1.0,2024-03-07 19:20:02.091296+00,Hennuru,,,,
18,unplanned,12.9233517,77.5904883,0.0,0.0,"36th Cross Road, Block 4T, Pattabhirama Nagar, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",tree_fall,False,2024-03-07 19:39:29.764+00,,,Non-corridor,0.0,2024-03-07 19:44:04.840279+00,Jayanagara,2024-03-08 00:32:50.46445+00,,,
19,unplanned,13.0001393,77.5840594,0.0,0.0,"Sankey Road, MD Nanjundaswamy Circle, Rajamahal Guttahalli, Bengaluru, Karnataka. Pin-560003 (India)",vehicle_breakdown,False,2024-01-30 04:49:17.231+00,,ksrtc_bus,Bellary Road 1,1.0,2024-01-30 04:51:12.899255+00,Sadashivanagar,,,,
20,unplanned,12.9071221,77.6286395,0.0,0.0,"Hosur Road, Vivekananda Circle, Bommanahalli, Bengaluru, Karnataka. Pin-560068 (India)",vehicle_breakdown,False,2024-03-07 19:25:04.302+00,,heavy_vehicle,Hosur Road,1.0,2024-03-07 19:27:14.960257+00,Madiwala,2024-03-07 19:52:19.227138+00,,,
21,unplanned,12.927375,77.5806883,12.9273528,77.580685,"5th Main Road, Shri Vinayaka Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,True,2024-03-07 19:45:16.034+00,,,Non-corridor,0.0,2024-03-07 19:47:58.459881+00,Jayanagara,2024-03-09 20:33:47.282786+00,,,
22,unplanned,12.9169074,77.5950955,0.0,0.0,"South End Main Road, East End Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",pot_holes,False,2024-01-05 22:35:41.185+00,,,Non-corridor,0.0,2024-01-05 22:36:57.627179+00,Jayanagara,2024-03-07 19:48:05.33121+00,Bengaluru South Corporation,South Zone 1,28thMainJayanagarJunc
23,unplanned,12.9667047,77.6615983,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:32:47.117+00,,,,0.0,2024-01-30 08:33:47.540206+00,Jeevanbheemanagar,,,,
24,unplanned,12.8966387,77.7202071,0.0,0.0,"Sarjapura Main Road, Kodathi Gate, Kodathi, Bengaluru, Karnataka. Pin-560035 (India)",water_logging,False,2024-03-07 19:55:24.461+00,,,Non-corridor,0.0,2024-03-07 19:59:11.246383+00,Whitefield,,,,
25,unplanned,12.9463911,77.597326,12.9465181,77.5973857,"12th Cross Road, Lakksandra Extension, Wilson Garden, Bengaluru, Karnataka. Pin-560030 (India)",tree_fall,True,2024-03-07 06:09:19.361+00,,,Non-corridor,0.0,2024-03-07 06:10:16.176379+00,Wilson Garden,2024-03-07 20:12:38.802518+00,,,
26,unplanned,12.9856042,77.5977438,0.0,0.0,"Queens Road, HVS Apartment, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",pot_holes,False,2024-01-30 08:35:04.399+00,,,,1.0,2024-01-30 08:35:50.025285+00,Shivajinagar,,,,
27,unplanned,12.9077383,77.6005709,0.0,0.0,"Bannerghatta Main Road, JD Mara Junction, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,False,2024-01-30 08:12:47.138+00,,bmtc_bus,Bannerghata Road,1.0,2024-01-30 08:14:16.420314+00,Mico Layout,,,,
28,unplanned,12.9635109,77.6642122,0.0,0.0,"Suranjan Das Road, Officers Quarters, Airport Area, Bengaluru, Karnataka. Pin-560017 (India)",pot_holes,False,2024-01-30 08:25:57.212+00,,,,0.0,2024-01-30 08:28:51.106311+00,HAL Old Airport,2024-01-30 08:35:01.998607+00,,,
29,unplanned,12.9667073,77.6615616,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:31:37.367+00,,,,0.0,2024-01-30 08:32:13.484988+00,Jeevanbheemanagar,,,,
30,unplanned,12.9666867,77.6616478,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:33:55.212+00,,,Non-corridor,0.0,2024-01-30 08:34:48.349991+00,Jeevanbheemanagar,,,,
31,unplanned,12.907814,77.6006561,12.9075245,77.6003865,"Bannerghatta Main Road, Srinivas Industrial Estate, BTM Layout Stage 2, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,True,2024-01-30 08:08:05.581+00,,bmtc_bus,Bannerghata Road,1.0,2024-01-30 08:11:01.60818+00,Mico Layout,,,,
32,unplanned,12.8955737,77.5993711,0.0,0.0,"Bannerghatta Main Road, Indian Institute of Management, Bengaluru, Karnataka. Pin-560076 (India)",vehicle_breakdown,False,2024-01-30 05:43:18.534+00,,lcv,Bannerghata Road,1.0,2024-01-30 05:44:59.860926+00,J.P. Nagar,,,,
33,unplanned,12.92757,77.5832051,0.0,0.0,"9th Main Road, Geeta Circle, Jayanagar, Bengaluru, Karnataka. Pin-560011 (India)",tree_fall,False,2024-03-07 20:06:03.523+00,,,Non-corridor,0.0,2024-03-07 20:06:37.915099+00,Jayanagara,2024-03-09 20:33:44.935343+00,,,
34,unplanned,13.044697,77.5828546,0.0,0.0,"Outer Ring Road, Abdul Patel Syed Layout, Bhoopasandra, RMV Stage 2, Bengaluru, Karnataka. Pin-560094 (India)",congestion,False,2024-01-30 05:38:15.485+00,,,ORR North 2,1.0,2024-01-30 05:39:28.665706+00,Kodigehalli,,,,
35,unplanned,12.9666885,77.6616396,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:35:57.672+00,,,,0.0,2024-01-30 08:36:54.308956+00,Jeevanbheemanagar,,,,
36,unplanned,12.9789228,77.5644032,0.0,0.0,"Magadi Road, Magadi Road Area, Bengaluru, Karnataka. Pin-560023 (India)",vehicle_breakdown,False,2024-03-07 20:17:50.952+00,,bmtc_bus,Magadi Road,1.0,2024-03-07 20:19:21.251912+00,Magadi Road,,,,
37,unplanned,12.8636494,77.6725849,,,"Doddanagamangala Road, Sri Rajarajeshwari Nagar, Doddanagamangala, Bengaluru, Karnataka. Pin-560100 (India)",accident,False,2024-01-30 03:52:59.126038+00,,,Non-corridor,0.0,2024-01-30 08:53:47.147922+00,Electronic City,,,,
38,unplanned,12.9219483,77.6002467,0.0,0.0,"Bannerghatta Main Road, Opulent Spire, Block 9, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",vehicle_breakdown,False,2024-01-30 15:15:10.139+00,,heavy_vehicle,Bannerghata Road,1.0,2024-01-30 15:18:28.719881+00,Mico Layout,,,,
39,unplanned,12.9666597,77.661556,0.0,0.0,"Suranjan Das Road, Thimmaiah Reddy Colony, Jeevan Bima Nagar, Bengaluru, Karnataka. Pin-560075 (India)",pot_holes,False,2024-01-30 08:37:16.322+00,2024-01-30 05:38:46+00,,,0.0,2024-01-30 08:40:15.935486+00,Jeevanbheemanagar,,,,
40,planned,12.946469,77.6986754,0.0,0.0,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",construction,False,2024-01-30 11:31:12.848+00,2024-01-30 11:31:46+00,,ORR East 1,1.0,2024-01-30 11:32:15.765069+00,HAL Old Airport,,,,
41,unplanned,12.9936273,77.5844677,12.9934867,77.584375,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",others,True,2024-03-07 20:20:31.14+00,,,Bellary Road 1,1.0,2024-03-07 20:23:59.6178+00,High ground,2024-03-07 22:06:56.28907+00,,,
42,unplanned,12.9465079,77.6986339,0.0,0.0,"Outer Ring Road, Sumadhura Platinum Square, Kadubisanahalli, Bengaluru, Karnataka. Pin-560037 (India)",vehicle_breakdown,False,2024-01-30 20:38:19.329+00,,bmtc_bus,ORR East 1,1.0,2024-01-30 20:40:06.042986+00,HAL Old Airport,,,,
43,unplanned,13.0467058,77.5036495,0.0,0.0,"6th Main Road, The Edge, Nagasandra, Bengaluru, Karnataka. Pin-560073 (India)",vehicle_breakdown,False,2024-03-07 18:29:50.857+00,,lcv,Non-corridor,0.0,2024-03-07 18:31:53.902977+00,Chikkabanavara,,,,
44,unplanned,13.0166142,77.5054464,0.0,0.0,"14th Cross Road, Industrial Area Stage 3, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2023-12-28 06:06:26.375+00,,bmtc_bus,Non-corridor,0.0,2023-12-28 06:07:50.737435+00,Peenya,,Bengaluru West Corporation,West Zone 1,Peenya14thCrossJunc
45,planned,13.0085677,77.6131497,13.0085507,77.6131283,"Shampura Main Road, AK Colony, Devarajeevana Halli, Bengaluru, Karnataka. Pin-560045 (India)",construction,True,2024-01-30 21:21:10.303+00,2024-01-30 21:20:46+00,,Non-corridor,0.0,2024-01-30 21:21:41.722681+00,K.G. Halli,,,,
46,unplanned,13.0309717,77.5364661,0.0,0.0,"Mumbai Bengaluru Highway, Gorguntepalya Junction, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",vehicle_breakdown,False,2024-01-30 19:33:25.417+00,,lcv,Tumkur Road,1.0,2024-01-30 19:35:20.337586+00,Yeshwanthpura,,,,
47,unplanned,13.0262806,77.5442344,0.0,0.0,"1st Main Road, Sri Vijayamaruthi Circle, Yeshwanthpur, Bengaluru, Karnataka. Pin-560022 (India)",others,False,2024-03-07 20:27:15.443+00,,,Tumkur Road,1.0,2024-03-07 20:29:28.84539+00,Yeshwanthpura,2024-03-07 22:40:47.232952+00,,,
48,unplanned,12.9938639,77.5844374,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",tree_fall,False,2024-03-07 20:41:41.999+00,,,Bellary Road 1,1.0,2024-03-07 20:42:35.482807+00,High ground,2024-03-09 03:11:00.032388+00,,,
49,unplanned,12.9188682,77.6687736,0.0,0.0,"Sarjapura Main Road, Sri Balaji Layout, Bellandur Gate, Bellandur, Bengaluru, Karnataka. Pin-560102 (India)",vehicle_breakdown,False,2024-01-30 21:27:52.454+00,,bmtc_bus,ORR East 1,1.0,2024-01-30 21:29:36.526728+00,Bellandur,2024-01-30 22:23:24.957711+00,,,
50,unplanned,12.9546127,77.6423399,0.0,0.0,"Nagasandra Road, Serenity Layout, Domlur, Bengaluru, Karnataka. Pin-560071 (India)",congestion,False,2024-01-30 20:46:34.356+00,,,IRR(Thanisandra road),1.0,2024-01-30 20:46:56.603762+00,Jeevanbheemanagar,,,,
51,unplanned,12.936133,77.5187044,0.0,0.0,"Sri Sri Sri Tiruchi Mahaswamiji Road, Rajarajeshwari Junction, Nayandahalli, Bengaluru, Karnataka. Pin-560039 (India)",vehicle_breakdown,False,2024-01-30 21:13:55.445+00,,lcv,Mysore Road,1.0,2024-01-30 21:16:43.603052+00,Byatarayanapura,,,,
52,planned,12.9694079,77.7006346,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",construction,False,2024-01-30 20:56:01.732+00,2024-01-31 09:05:46+00,,ORR East 2,1.0,2024-01-30 20:56:43.100304+00,HAL Old Airport,,,,
53,unplanned,12.9849833,77.5883633,0.0,0.0,"Palace Road, Chalukya Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560001 (India)",vehicle_breakdown,False,2024-01-30 21:47:40.463+00,,private_car,Bellary Road 1,1.0,2024-01-30 21:51:46.251707+00,High ground,2024-01-30 22:57:00.255562+00,,,
54,unplanned,13.0127301,77.5545135,0.0,0.0,"Chord Road, World Trade Centre, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",vehicle_breakdown,False,2024-03-07 20:42:57.607+00,,truck,West of Chord Road,1.0,2024-03-07 20:45:17.862935+00,Malleshwaram,,,,
55,unplanned,12.9842019,77.7336286,0.0,0.0,"Pattandur Agrahara Road, Vertex Tech Park, EPIP Zone, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",road_conditions,False,2024-01-30 21:54:56.083+00,,,Non-corridor,0.0,2024-01-30 21:55:49.646644+00,Whitefield,2024-01-30 22:56:12.701247+00,,,
56,unplanned,13.2644465,77.7187627,13.2645358,77.7187849,"Bangalore Bellary Road, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",vehicle_breakdown,True,2024-01-30 19:36:33.702+00,,heavy_vehicle,Non-corridor,0.0,2024-01-30 19:38:18.682995+00,Devanahalli Airport,,,,
57,unplanned,12.9848257,77.7527586,0.0,0.0,"Whitefield Main Road, Prestige Park View, Whitefield, Bengaluru, Karnataka. Pin-560066 (India)",vehicle_breakdown,False,2024-01-30 22:06:02.276+00,,private_car,Non-corridor,0.0,2024-01-30 22:07:20.927778+00,Mahadevapura,2024-01-30 22:42:27.016248+00,,,
58,unplanned,12.9932986,77.5837571,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",tree_fall,False,2024-03-07 20:51:39.532+00,,,Bellary Road 1,1.0,2024-03-07 20:52:53.033507+00,High ground,2024-03-09 03:10:44.241252+00,,,
59,unplanned,12.9937523,77.5842482,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",tree_fall,False,2024-03-07 20:47:40.64+00,,,Bellary Road 1,1.0,2024-03-07 20:48:21.533886+00,High ground,2024-03-09 03:10:47.308123+00,,,
60,unplanned,12.9938868,77.5841876,0.0,0.0,"Kumar Krupa Road, Make In India Circle, Vasant Nagar, Bengaluru, Karnataka. Pin-560001 (India)",tree_fall,False,2024-03-07 20:45:19.752+00,,,Bellary Road 1,1.0,2024-03-07 20:47:05.154098+00,High ground,2024-03-09 03:10:58.037069+00,,,
61,unplanned,12.9368467,77.6928653,0.0,0.0,"Outer Ring Road, Featherlite The Address, Kadubisanahalli, Bengaluru, Karnataka. Pin-560103 (India)",vehicle_breakdown,False,2024-01-30 23:05:02.339+00,,private_car,ORR East 1,1.0,2024-01-30 23:06:09.103789+00,HAL Old Airport,,,,
62,unplanned,13.0126766,77.5581246,13.0126089,77.5582882,"1st Cross Road, Brigade Gateway, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",tree_fall,True,2024-03-07 20:53:37.293+00,,,Non-corridor,0.0,2024-03-07 20:54:24.364146+00,Malleshwaram,2024-03-23 05:38:25.456414+00,,,
63,unplanned,12.9513113,77.4994888,0.0,0.0,"Kengeri Main Road, Ullal Junction, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",vehicle_breakdown,False,2024-01-30 23:12:23.123+00,,bmtc_bus,Non-corridor,0.0,2024-01-30 23:14:11.203391+00,Jnanabharathi,2024-01-31 00:35:36.782614+00,,,
64,unplanned,13.0160964,77.5068555,0.0,0.0,"14th Cross Road, Industrial Area Stage 2, Peenya, Bengaluru, Karnataka. Pin-560058 (India)",vehicle_breakdown,False,2024-01-30 21:21:57.881+00,,bmtc_bus,Non-corridor,0.0,2024-01-30 21:24:10.181727+00,Peenya,,,,
65,unplanned,12.9807501,77.6028238,0.0,0.0,"Infantry Road, Prestige Central, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",pot_holes,False,2024-03-07 21:05:54.697+00,,,CBD 1,1.0,2024-03-07 21:07:59.668617+00,Shivajinagar,,,,
66,unplanned,12.9165983,77.583705,0.0,0.0,"9th Main Road, Adarsh Palace Apartment, TMC Layout, JP Nagar Phase 1, Bengaluru, Karnataka. Pin-560078 (India)",tree_fall,False,2024-03-07 20:58:06.297+00,,,Non-corridor,0.0,2024-03-07 20:59:18.285194+00,J.P. Nagar,2024-03-08 02:19:20.587942+00,,,
67,unplanned,13.0198619,77.6562235,0.0,0.0,"Horamavu Main Road, Another Sky by Living Walls, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",pot_holes,False,2024-01-31 01:04:36.275+00,,,,1.0,2024-01-31 01:05:39.540205+00,Hennuru,,,,
68,unplanned,13.0191848,77.6555127,0.0,0.0,"MBT Road, Peddanna Reddy Layout, Ashirwad Colony, Horamavu, Bengaluru, Karnataka. Pin-560043 (India)",pot_holes,False,2024-01-31 01:01:36.195+00,,,ORR North 1,1.0,2024-01-31 01:04:25.563456+00,Hennuru,,,,
69,unplanned,12.9740913,77.5452252,0.0,0.0,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",vehicle_breakdown,False,2024-01-31 00:33:27.663+00,,bmtc_bus,West of Chord Road,1.0,2024-01-31 00:34:11.984483+00,Vijayanagara,2024-01-31 01:17:38.964363+00,,,
70,unplanned,12.9740971,77.5449011,0.0,0.0,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",vehicle_breakdown,False,2024-01-31 00:36:02.277+00,,bmtc_bus,West of Chord Road,1.0,2024-01-31 00:37:29.633418+00,Vijayanagara,2024-01-31 01:17:50.142637+00,,,
71,unplanned,12.9688926,77.569795,0.0,0.0,"Binny Mill Road, Akkimakalamna Gudi, Cottonpete, Bengaluru, Karnataka. Pin-560053 (India)",vehicle_breakdown,False,2024-01-31 01:24:44.373+00,,auto,Non-corridor,0.0,2024-01-31 01:27:32.617672+00,Chamarajpet,2024-01-31 01:50:53.884849+00,,,
72,unplanned,12.9838737,77.5286068,0.0,0.0,"G Narayana Kumar Road, Soundarya Kamakshi, Karekallu, Kamakshipalya, Bengaluru, Karnataka. Pin-560079 (India)",pot_holes,False,2024-01-30 23:46:07.351+00,,,Magadi Road,1.0,2024-01-30 23:46:29.635454+00,Kamakshipalya,2024-02-05 23:45:54.3377+00,,,
73,unplanned,12.9595586,77.5162093,0.0,0.0,"Nagarabhavi Main Road, Block 1 Manasa Nagar, Nagarbhavi Stage 1, Bengaluru, Karnataka. Pin-560072 (India)",others,False,2024-01-30 23:23:41.783+00,,,Non-corridor,0.0,2024-01-30 23:24:30.510154+00,Byatarayanapura,2024-02-14 06:53:06.703545+00,,,
74,unplanned,12.9511354,77.5739687,0.0,0.0,"DTV Dwarakanatha Road, BNV Subramanya Circle, Basavanagudi, Bengaluru, Karnataka. Pin-560004 (India)",vehicle_breakdown,False,2024-01-30 22:39:37.276+00,,lcv,Non-corridor,0.0,2024-01-30 22:42:30.33674+00,V.V.Puram (C.Pet),,,,
75,unplanned,13.0192138,77.5395595,0.0,0.0,"Kanteerava Studio Road, Police Quarters, Krishnananda Nagar, Nandini Layout, Bengaluru, Karnataka. Pin-560096 (India)",vehicle_breakdown,False,2024-01-30 23:11:03.886+00,,others,Non-corridor,0.0,2024-01-30 23:12:44.142059+00,Rajajinagar,,,,
76,unplanned,12.9161187,77.5856548,0.0,0.0,"47th Cross Road, Sri Aurobindo Circle, Jayanagar, Bengaluru, Karnataka. Pin-560041 (India)",pot_holes,False,2024-03-07 21:11:51.734+00,,,Non-corridor,0.0,2024-03-07 21:13:23.340352+00,J.P. Nagar,2024-03-11 21:05:57.351976+00,,,
77,unplanned,12.9284355,77.6811918,12.9284472,77.6814506,"Outer Ring Road, Sterling Ascentia, Kariyammana Agrahara, Bengaluru, Karnataka. Pin-560103 (India)",vehicle_breakdown,True,2024-01-30 23:18:30.88+00,,bmtc_bus,ORR East 1,1.0,2024-01-30 23:19:30.321743+00,Bellandur,,,,
78,unplanned,13.0753282,77.4370383,0.0,0.0,"Dr Vishnuvardhan Road, Dasanapura, Bengaluru, Karnataka. Pin-562162 (India)",vehicle_breakdown,False,2024-03-07 19:23:40.435+00,,heavy_vehicle,Non-corridor,0.0,2024-03-07 19:24:39.809788+00,No Police Station,,,,
79,unplanned,13.2673624,77.7195893,0.0,0.0,"Srinagar Kanyakumari Highway, Nitesh Long Land, Devanahalli, Karnataka. Pin-562110 (India)",vehicle_breakdown,False,2024-03-07 19:23:25.4+00,,heavy_vehicle,Non-corridor,0.0,2024-03-07 19:27:13.485887+00,Devanahalli Airport,,,,
80,unplanned,12.9449039,77.4949618,0.0,0.0,"Kengeri Main Road, Jnana Bharathi, Bengaluru, Karnataka. Pin-560056 (India)",others,False,2024-03-07 21:25:26.425+00,,,Non-corridor,0.0,2024-03-07 21:26:42.075291+00,Jnanabharathi,2024-03-07 21:41:19.772509+00,,,
81,unplanned,12.9873133,77.6163481,0.0,0.0,"St John Road, Field Marshal Manekshaw Enclave, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",tree_fall,False,2024-03-07 21:17:00.312+00,,,Non-corridor,0.0,2024-03-07 21:18:56.020966+00,Pulikeshinagar(F.Town),2024-03-07 23:13:49.030632+00,,,
82,planned,12.969418,77.7006526,0.0,0.0,"Outer Ring Road, Karthik Nagar, Marathahalli, Bengaluru, Karnataka. Pin-560037 (India)",construction,False,2024-03-07 21:23:16.629+00,2024-03-08 10:05:46+00,,ORR East 2,1.0,2024-03-07 21:25:40.927133+00,HAL Old Airport,,,,
83,unplanned,12.9613232,77.5644194,12.9615988,77.5643335,"5th Cross Road, Sirsi Circle, Chamarajpet, Bengaluru, Karnataka. Pin-560018 (India)",others,True,2024-03-07 21:14:45.233+00,,,Mysore Road,1.0,2024-03-07 21:16:39.043124+00,Chamarajpet,2024-03-17 02:20:28.972956+00,,,
